match,team,period,minute,second,shot_location,pass_location,gk_location,under_pressure,play_pattern_id,shot_key_pass_id,shot_type_id,shot_technique_id,shot_outcome_id,shot_body_part_id,players_in_shot_area,shot_first_time,shot_aerial_won,key_pass_height_id,key_pass_body_part_id,key_under_pressure,key_pass_switch,key_pass_cross,key_pass_cut_back,possession_duration,is_goal,shot_x,shot_y,pass_x,pass_y,gk_x,gk_y,distance_to_goal,angle_to_goal,distance_to_goal_squared,angle_to_goal_squared,distance_angle_interaction,keeper_placement_score,key_pass_length,key_pass_angle,possession_bucket,key_pass_length_bucket,key_pass_angle_bucket,xG_pred
Can Vidalet - Sant Just,Sant Just,1,10,58,"94.63,54.59",,"117.94,42.58",False,4,False,87,95,98,40,5,False,False,0,0,False,False,False,False,0.94,0,94.63,54.59,,,117.94,42.58,29.26610667649526,0.23693811808506748,856.5050000000003,0.05613967180169338,6.934256239605616,0.6976092482056184,0.0,0.0,Counterattack,nan,Forward,0.022086289
Can Vidalet - Sant Just,Sant Just,1,12,36,"87.77,24.72",,"118.29,39.83",False,3,False,62,93,116,40,4,True,False,0,0,False,False,False,False,0.21,0,87.77,24.72,,,118.29,39.83,35.66863187732325,0.20243424083008904,1272.2513000000004,0.040979621860454486,7.220552415533846,0.8552670868410283,0.0,0.0,Counterattack,nan,Forward,0.0149300555
Can Vidalet - Sant Just,Sant Just,1,15,9,"104.91,55.28","111.43,50.13","118.29,42.23",False,1,True,87,93,96,40,4,True,False,1,40,True,False,False,False,10.06,0,104.91,55.28,111.43,50.13,118.29,42.23,21.475253199904305,0.26479945599569343,461.1865000000001,0.07011875189561519,5.6866353647044345,0.9124352582716747,8.308603974194469,0.4046916524529659,Short Attack,Short,Forward,0.050228976
Can Vidalet - Sant Just,Sant Just,1,15,13,"95.31,38.45","97.37,51.50","118.97,41.20",False,1,True,87,93,98,38,5,False,False,1,40,False,False,False,False,12.69,0,95.31,38.45,97.37,51.5,118.97,41.2,24.738605457866857,0.3200187139538541,611.9985999999999,0.1024119772806787,7.916816703638348,0.6844557380853626,13.21158960912728,0.28051494190014176,Short Attack,Medium,Forward,0.021161528
Can Vidalet - Sant Just,Can Vidalet,1,18,32,"116.23,27.81",,"118.29,37.08",False,6,False,87,93,98,38,1,False,False,0,0,False,False,False,False,9.81,0,116.23,27.81,,,118.29,37.08,12.759663004954323,0.20261793305799972,162.80899999999997,0.04105402679669606,2.5853365445804704,0.0,0.0,0.0,Short Attack,nan,Forward,0.37644023
Can Vidalet - Sant Just,Can Vidalet,1,18,38,"92.91,46.70",,"117.60,41.20",False,1,False,87,93,100,40,4,False,False,0,0,False,False,False,False,1.14,0,92.91,46.7,,,117.6,41.2,27.906237653972635,0.2768313468914685,778.7581000000001,0.07663559462174456,7.725321356422659,0.8528286023029925,0.0,0.0,Counterattack,nan,Forward,0.044468354
Can Vidalet - Sant Just,Sant Just,1,18,55,"99.09,42.23","105.94,28.15","118.63,39.48",False,6,True,87,93,100,38,4,True,False,1,40,True,False,False,False,11.77,0,99.09,42.23,105.94,28.15,118.63,39.48,21.028575795806997,0.3740162722789912,442.2009999999999,0.13988817192947248,7.865029530483954,0.8344122286829179,15.657870225544722,0.3359634684029968,Short Attack,Medium,Forward,0.04824206
Can Vidalet - Sant Just,Can Vidalet,1,23,30,"16.80,31.93","62.06,35.02","6.86,37.08",False,1,True,87,95,100,40,1,True,False,2,40,False,False,False,False,80.05,0,16.8,31.93,62.06,35.02,6.86,37.08,103.51504673234709,0.07701085449249023,10715.364900000002,0.005930671709663503,7.971782201688108,0.0,45.365357928710324,0.13685206574086758,Long Attack,Long,Forward,0.026467131
Can Vidalet - Sant Just,Can Vidalet,1,25,30,"105.26,43.61","32.57,55.62","111.43,43.61",False,1,True,87,93,100,40,1,True,False,2,40,False,False,False,False,1.6,0,105.26,43.61,32.57,55.62,111.43,43.61,15.175628487808991,0.503040824658413,230.2996999999998,0.25305007127301626,7.6339606692171404,0.6330679151460994,73.67547896009906,0.08861903081353867,Counterattack,Long,Forward,0.19209564
Can Vidalet - Sant Just,Sant Just,1,29,52,"105.60,45.67",,"117.94,41.20",True,1,False,87,93,99,40,3,False,False,0,0,False,False,False,False,19.58,0,105.6,45.67,,,117.94,41.2,15.4760750838189,0.47590398889280333,239.50890000000018,0.2264846066440815,7.36512586479394,0.9095410178344422,0.0,0.0,Long Attack,nan,Forward,0.107099526
Can Vidalet - Sant Just,Sant Just,1,45,38,"113.14,34.33","115.89,59.06","118.97,40.52",False,1,True,87,93,97,38,1,True,False,1,40,False,False,False,True,36.63,1,113.14,34.33,115.89,59.06,118.97,40.52,8.899915729938122,0.7149871410383657,79.20850000000003,0.5112066118502159,6.3633253032308374,0.735747497912954,24.882431553206374,0.09004195815383623,Long Attack,Medium,Forward,0.34704795
Can Vidalet - Sant Just,Can Vidalet,1,47,10,"107.66,38.11","115.89,55.97","118.97,41.55",False,1,True,87,93,100,40,2,True,False,1,40,False,False,False,True,27.65,0,107.66,38.11,115.89,55.97,118.97,41.55,12.483897628545344,0.6146819297531648,155.8477000000001,0.37783387476507463,7.67362628515521,0.5779823612175934,19.665006992116734,0.12777124318254557,Long Attack,Medium,Forward,0.16251981
