match_id,event_file,competition_id,season_id
2275126,open-data-master\data\events\2275126.json,37,42
2275127,open-data-master\data\events\2275127.json,37,42
2275130,open-data-master\data\events\2275130.json,37,42
2275131,open-data-master\data\events\2275131.json,37,42
2275133,open-data-master\data\events\2275133.json,37,42
2275136,open-data-master\data\events\2275136.json,37,42
2275138,open-data-master\data\events\2275138.json,37,42
2275142,open-data-master\data\events\2275142.json,37,42
2275144,open-data-master\data\events\2275144.json,37,42
2275146,open-data-master\data\events\2275146.json,37,42
2275150,open-data-master\data\events\2275150.json,37,42
2275151,open-data-master\data\events\2275151.json,37,42
2275154,open-data-master\data\events\2275154.json,37,42
2275156,open-data-master\data\events\2275156.json,37,42
2275157,open-data-master\data\events\2275157.json,37,42
22912,open-data-master\data\events\22912.json,16,4
22921,open-data-master\data\events\22921.json,72,30
22924,open-data-master\data\events\22924.json,72,30
22930,open-data-master\data\events\22930.json,72,30
22933,open-data-master\data\events\22933.json,72,30
22934,open-data-master\data\events\22934.json,72,30
22936,open-data-master\data\events\22936.json,72,30
22939,open-data-master\data\events\22939.json,72,30
22940,open-data-master\data\events\22940.json,72,30
22942,open-data-master\data\events\22942.json,72,30
22943,open-data-master\data\events\22943.json,72,30
22944,open-data-master\data\events\22944.json,72,30
22945,open-data-master\data\events\22945.json,72,30
22948,open-data-master\data\events\22948.json,72,30
22949,open-data-master\data\events\22949.json,72,30
22955,open-data-master\data\events\22955.json,72,30
22961,open-data-master\data\events\22961.json,72,30
22962,open-data-master\data\events\22962.json,72,30
22963,open-data-master\data\events\22963.json,72,30
22966,open-data-master\data\events\22966.json,72,30
22973,open-data-master\data\events\22973.json,72,30
22974,open-data-master\data\events\22974.json,72,30
22980,open-data-master\data\events\22980.json,72,30
22981,open-data-master\data\events\22981.json,72,30
22983,open-data-master\data\events\22983.json,72,30
22984,open-data-master\data\events\22984.json,72,30
2302764,open-data-master\data\events\2302764.json,16,37
265830,open-data-master\data\events\265830.json,11,25
265837,open-data-master\data\events\265837.json,11,25
265839,open-data-master\data\events\265839.json,11,27
265857,open-data-master\data\events\265857.json,11,25
265866,open-data-master\data\events\265866.json,11,26
265896,open-data-master\data\events\265896.json,11,26
265952,open-data-master\data\events\265952.json,11,2
265963,open-data-master\data\events\265963.json,11,26
266056,open-data-master\data\events\266056.json,11,27
266066,open-data-master\data\events\266066.json,11,25
266074,open-data-master\data\events\266074.json,11,25
266106,open-data-master\data\events\266106.json,11,27
266117,open-data-master\data\events\266117.json,11,26
266160,open-data-master\data\events\266160.json,11,27
266166,open-data-master\data\events\266166.json,11,27
266201,open-data-master\data\events\266201.json,11,25
266236,open-data-master\data\events\266236.json,11,27
266240,open-data-master\data\events\266240.json,11,26
266254,open-data-master\data\events\266254.json,11,27
266256,open-data-master\data\events\266256.json,11,25
266273,open-data-master\data\events\266273.json,11,2
266280,open-data-master\data\events\266280.json,11,2
266406,open-data-master\data\events\266406.json,11,26
266420,open-data-master\data\events\266420.json,11,25
266424,open-data-master\data\events\266424.json,11,27
266433,open-data-master\data\events\266433.json,11,24
266467,open-data-master\data\events\266467.json,11,27
266477,open-data-master\data\events\266477.json,11,2
266491,open-data-master\data\events\266491.json,11,25
266525,open-data-master\data\events\266525.json,11,26
266528,open-data-master\data\events\266528.json,11,2
266560,open-data-master\data\events\266560.json,11,26
266613,open-data-master\data\events\266613.json,11,25
266631,open-data-master\data\events\266631.json,11,26
266653,open-data-master\data\events\266653.json,11,27
266664,open-data-master\data\events\266664.json,11,27
266670,open-data-master\data\events\266670.json,11,27
266724,open-data-master\data\events\266724.json,11,24
266731,open-data-master\data\events\266731.json,11,2
266741,open-data-master\data\events\266741.json,11,26
266770,open-data-master\data\events\266770.json,11,26
266794,open-data-master\data\events\266794.json,11,26
266815,open-data-master\data\events\266815.json,11,27
266827,open-data-master\data\events\266827.json,11,24
266846,open-data-master\data\events\266846.json,11,26
266871,open-data-master\data\events\266871.json,11,26
266883,open-data-master\data\events\266883.json,11,25
266892,open-data-master\data\events\266892.json,11,2
266967,open-data-master\data\events\266967.json,11,26
266986,open-data-master\data\events\266986.json,11,27
266989,open-data-master\data\events\266989.json,11,2
267058,open-data-master\data\events\267058.json,11,2
267076,open-data-master\data\events\267076.json,11,2
267077,open-data-master\data\events\267077.json,11,2
267085,open-data-master\data\events\267085.json,11,26
267138,open-data-master\data\events\267138.json,11,25
267183,open-data-master\data\events\267183.json,11,26
267192,open-data-master\data\events\267192.json,11,25
267197,open-data-master\data\events\267197.json,11,26
267220,open-data-master\data\events\267220.json,11,2
267273,open-data-master\data\events\267273.json,11,27
267327,open-data-master\data\events\267327.json,11,27
267373,open-data-master\data\events\267373.json,11,2
267395,open-data-master\data\events\267395.json,11,2
267400,open-data-master\data\events\267400.json,11,26
267422,open-data-master\data\events\267422.json,11,27
267432,open-data-master\data\events\267432.json,11,2
267464,open-data-master\data\events\267464.json,11,2
267492,open-data-master\data\events\267492.json,11,2
267506,open-data-master\data\events\267506.json,11,27
267520,open-data-master\data\events\267520.json,11,25
267533,open-data-master\data\events\267533.json,11,27
267561,open-data-master\data\events\267561.json,11,26
267569,open-data-master\data\events\267569.json,11,2
267597,open-data-master\data\events\267597.json,11,26
267611,open-data-master\data\events\267611.json,11,27
267660,open-data-master\data\events\267660.json,11,2
303451,open-data-master\data\events\303451.json,11,42
303473,open-data-master\data\events\303473.json,11,42
303479,open-data-master\data\events\303479.json,11,42
303493,open-data-master\data\events\303493.json,11,42
303524,open-data-master\data\events\303524.json,11,42
303532,open-data-master\data\events\303532.json,11,42
303548,open-data-master\data\events\303548.json,11,42
303596,open-data-master\data\events\303596.json,11,42
303600,open-data-master\data\events\303600.json,11,42
303615,open-data-master\data\events\303615.json,11,42
303652,open-data-master\data\events\303652.json,11,42
303664,open-data-master\data\events\303664.json,11,42
303666,open-data-master\data\events\303666.json,11,42
303680,open-data-master\data\events\303680.json,11,42
303682,open-data-master\data\events\303682.json,11,42
303700,open-data-master\data\events\303700.json,11,42
303707,open-data-master\data\events\303707.json,11,42
3749052,open-data-master\data\events\3749052.json,2,44
3749068,open-data-master\data\events\3749068.json,2,44
3749079,open-data-master\data\events\3749079.json,2,44
3749108,open-data-master\data\events\3749108.json,2,44
3749133,open-data-master\data\events\3749133.json,2,44
3749192,open-data-master\data\events\3749192.json,2,44
3749196,open-data-master\data\events\3749196.json,2,44
3749233,open-data-master\data\events\3749233.json,2,44
3749246,open-data-master\data\events\3749246.json,2,44
